sector,label,ticker,first_date,last_date,n_obs,n_missing_close,pct_missing,exp_trading_days,coverage_pct,max_gap_days,ann_return,ann_volatility,skewness,excess_kurtosis,min_daily_ret_pct,max_daily_ret_pct,n_outliers_4sd,n_zero_returns,jb_stat,jb_pval,ret_autocorr_lag1,adf_stat,adf_pval
IT,S&P 500 Information Technology,^SP500-45,1993-05-04,2026-05-15,8312,0,0.0,8323,99.87,7,17.23,27.14,0.2525,6.4203,-13.9149,17.4413,43,8,14342.19,0.0,-0.0459,0.0817,0.9648
CommSvcs,S&P 500 Communication Services,^SP500-50,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,7.17,22.05,0.1277,6.7559,-10.4435,13.7988,42,26,15807.39,0.0,-0.0431,-0.1368,0.9456
ConDisc,S&P 500 Consumer Discretionary,^SP500-25,1993-05-04,2026-05-15,8312,0,0.0,8323,99.87,7,11.31,21.52,-0.045,7.3327,-12.0825,13.1033,48,11,18596.17,0.0,-0.0196,-0.2251,0.9355
ConStaples,S&P 500 Consumer Staples,^SP500-30,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,8.37,14.97,-0.0466,10.1799,-9.2353,9.2373,48,17,35845.39,0.0,-0.0654,-1.218,0.6658
Financials,S&P 500 Financials,^SP500-40,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,10.01,27.24,0.2993,17.0586,-17.005,18.7693,74,18,100776.22,0.0,-0.079,-1.5114,0.5279
HealthCare,S&P 500 Health Care,^SP500-35,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,10.5,18.1,-0.0433,7.1231,-9.9922,12.4267,48,8,17550.29,0.0,-0.0232,-1.5903,0.4885
Industrials,S&P 500 Industrials,^SP500-20,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,10.32,20.23,-0.1926,8.1072,-11.4453,12.7506,52,21,22783.13,0.0,-0.0291,-0.5076,0.8905
Materials,S&P 500 Materials,^SP500-15,1993-05-04,2026-05-15,8315,0,0.0,8323,99.9,7,8.42,22.44,-0.0898,7.5635,-12.1324,13.2843,49,23,19800.96,0.0,-0.0195,-0.8691,0.798
Utilities,S&P 500 Utilities,^SP500-55,1993-05-04,2026-05-15,8313,0,0.0,8323,99.88,7,5.6,18.52,0.1164,13.0692,-11.543,13.5235,50,28,59096.16,0.0,-0.0467,-0.5252,0.887
RealEstate,S&P 500 Real Estate,^SP500-60,2001-10-09,2026-05-15,6190,0,0.0,6198,99.87,5,8.32,29.05,0.4085,20.6849,-18.4723,20.745,74,12,110319.02,0.0,-0.1768,-1.3571,0.6027
